text_akhir,polarity_score,polarity
bagus banget nggak nggak suka ketik aja nggak nggak bahasa inggris orang nggak bahasa inggris kayak udah aja ulasan kalo salah ketik maaf assalamualaikum warahmatullahi wabarokatu,-17,negative
tolong developer perbaiki koneksi gamenya bermasalah tambahkan vitur add friend biar mudah mengundang teman room kadang code room bermasalah kode room,0,neutral
maaf sayak kasih mic chat apk bersuara mohon tambahkan misi gitu biar gitu gitu aja,2,positive
suka kaya namanya bikin chatnya aneh gk tau pakenyatapi suka kasih bintang aja karna pake tau mainnya,-2,negative
game bagus ngebosenin karna yg ngecheat ngga seruu males banget buka aplikasi game kalo udah nemu yg ngecheat auto gw apus game kalo nemu orang yg ngecheat game,-7,negative
main ngulang level ad internet berusaha memainkan sampat level ngulang level memperbaikinya tolong teman naikin level level game buruk memainkannya,-2,negative
among us inisi game mabar ngakakngeselin suka banget game kalo ratingbintang sampe mah kasih deh wqwq semoga among us gratisin petsskinsama hat tambahannya edit map air ship nama bener,9,positive
makasih among us mengembalikan mut sayalangi aq sukak kadang kalok mainaq suka gitu tau saran aq mending kaya gitu kalok gitu sebel begitulagi,-2,negative
bermain game sinyalnya bagus bermain game sinyal jelek tolong perbaiki sinyal server asia,-2,negative
game bagus cheater main kali tetep impostor tolong perbaiki ping cheater,1,positive
game ny bagustapi knpa pas room disconet udh pake liat youtube ttp disconettapi gamenya bagus koktolong diperbaiki yasmoga pas update ngga gini,5,positive
main kalo main masuk room tolong perbaiki malas main kalo begi tu kasih bintang kalo uda diperbaiki kasih bintang deh,-4,negative
hai dev game bagus bug fix tolong hilangkan opsi sign pemain mudah berkomunikasi,4,positive
kasih tau kalo make skin gitu glitch kadang² celana kaki pas biar gitu berhenti jalan mohon fix gamenya seru,-2,negative
tolong yah terkeluar game alasan among us versi butuh updatepadahal update terbaru check playstore tolong diperbaiki game among us innersloth,6,positive
suka game udah mainnya hehehe nambah rusak masuk game penuh mulu ama udah masuk hitam pls among bikin bagus maaf tersinggung ucapan bye,-18,negative
knp kasih bintang kesini main berkurang gk main among us sebenernya kecewa si gpp main game,0,neutral
gw sebenernya kecewa banget player pake cheat main enak kaga enak please developer usahain mainya enak cheat,1,positive
tolong server perbaiki disconnectpdhl internet jaringan bagustolong diperbaiki bintang,0,neutral
game bagus menarik sayang game game game membutuhkan sinyal yg kuat sinyalnya lemah dikit disconnent gabisa terhubung server,2,positive
game bagus kondisi jaringannya mohon diperbaiki buka youtube lancarnetflix lancar udh pake wifi dirumah tolong diperbaiki,3,positive
keren klo wktu diskusi sedikt tambahan bahasa lengkapi negara server indonesia munkin aja dah pengen chat suara tpi takut ad yg ngebentak ngomong kasar game ngefitnah,3,positive
udah suka game yg bintang main mencari room orang susah main afk,-2,negative
bagus bangetttt lo tolong yg game tolong bahasa indonesia orang orang indonesia mudah memahami bahasa bahasa indonesia kasih bintang,-3,negative
bagus banget game seru banget tolong perbaiki ngecheat seru kalo ngecheat tolong perbaiki yajangan ngecheat,4,positive
game seru banget impostor rahasia beneran keren nih game kalo map map airship keren buruan download game among us,12,positive
suka game plis tambahin pertemanan biar main server langsung joindah segitu aja plis pertemanannya kasih bintang oke bay,6,positive
seandainya fitur mengetik voice chat hehehehe kalo yg fitur ngetik ngetik nama grup voice chat bicara teman² chat doang please developer,1,positive
voice chat biar nggak cape nulisnya ribet kalo vote kebuang pas ngetik nggak player udah tau make discord,-11,negative
game bagus suka ngobrol pemain seru cuman chat ajasama skin banyakin lagikasi mode gituudah aja,4,positive
ad bugnya sinyal tembus tembok gk jaln diperbaiki kesalahan sekian terimakasih,2,positive
habis update bug temen ragu download tau udah anti hack knp gabisa server asia north america,-13,negative
game jujur bagus jelasin game bagus banget main lihat grafiknya bagus banget tombolnya bikin suka banget impostor mulu pake polis sayangnya wc kayak crewmate ngevent kayak lihat gitu main takut vent situ gitu game cocok main online bareng temen pas,8,positive
tolong benarkan bug game disconecerror jaringan bagusterima kasih,3,positive
seru bangat game suka bangat game bicarakn kenpa chat doang nomong teman ko maksud hapus game kasih bintang karan suka game terima kasih,18,positive
game bagus banget mantap lh pokoknyatapi server suka gk bagus game sinyal server tolong perbaiki developer makasih semoga membantu,13,positive
bagus cheat susah imposter ulang ulang crewmate mulu semoga pelajaran deploper suka ngelek masuk langsung hitam kill timer habis among us kaloborasi blackpink impos gitu crewmate aja udah sekian terima kasih semoga pelajaran,2,positive
benerbener kecewa game cheting pake nama random mendingan updetupdet kembalikan among us developer otak,-5,negative
game tolol org main anjim nggak update kali kereta cepat nggak main oke kasih bintang,-8,negative
paraahh nih game seru bangtttapi mohon developer bnyk bngt yg gunain cheat game inimohon cpt mengatasi yg memakai cheat game inimisal main menggunakannya cheat game serutapi yg suka game,12,positive
perbanyak role character impostor impostor player memperebutkan impostor game bermain impostor saran game perbanyak character polisi detective survivor,3,positive
gua b aja keterusan lolsaran nih b indonya gua nulis coklat sensor tulisannya gini lat lagipilihan warnanya tambahin koinnya kumpulin main server kayak cari koin biar clear bayar semuaditunggu,-15,negative
kasi binatang karna gini ceritanya pas among us buka main lho sekalinya suruh update yodah update bagus buruk mo main publik pencet publik normal aja pas masuk ruang hitam liat kupikir pas main sekalinya tetep impos yodah ruang tetep trus pencet komen aja yg hitam ahh mls hapus,-29,negative
loading lamasaat next update mohon mempercepat loading orangnya emosian download langsung hapus katena loading lamamohon next update loading percepat,-4,negative
thanks developer udh game game terhibur kebosanan kedepannya buatlah game tambahan map apapun maudownload game buruan download nyesal,13,positive
sangatsangat bagus pembunuhnya pembunuhnya pembunuhnya hitam fans nggak pembunuhnya nggak masuk venn bagus fotofoto peliharaannya pakai duit beli mahal banget,-12,negative
tolong server asia perbaiki full server asia kalo udah perbaiki bintang bintang terimakasih,6,positive
download memainkan game disconec mabar kayak gaada koneksi gitu sinyal kenyeng,-6,negative
tolong kali bermain online disconnect jaringannya g kalo buka aplikasi game online tolong update bagus saran,-3,negative
gini yg masuk server asia jaringannya lemot pake vpn penyimpanan penuh memperlambat paket tinggal kb,-6,negative
keren si asik game ny knp tiba² disconnect² mulu pdahal data udah nyala sinyal lancar jaya,10,positive
gamenya seru suka susah komunikasi kalo developer terhormat innersloth fitur komunikasinya,-3,negative
apasi njim dimainin pas masuk layarnya item trus kali gtu gemnya rusak pa gimana njim,-13,negative
gue upgrade aplikasi among us nggak main upgrade room ter game among us nggak main game among us rusak game among us,-3,negative
game bagus battt bagus kalo fitur add freind biar orang ngajagain main game emang seru kalo tuduh suka nangis sendiriಥಥ,-5,negative
tolong developer game gua main ni game sinyal gua bagus pas main disconected bug apatolong diperbaiki,0,neutral
krna gk kasi bintang gw ngasi bintang aje developerharap kepekaannya game ngebug bangett parah aja hp gw rusak kalo mohon playstore tolong game dihapus kasian yg laintakut hp rusak setuju playstore hapus game rindu among us duluu,-10,negative
ehe game bagus developrnya buatlah quick match ni game nggak susah nyari room maen oke ntar kalo udah update ane kasi bintang deh,-3,negative
si ganti nama sm ngetik kalo ganti nama masukin email dlu ribet banget si enakan among us yg map bru update,-3,negative
tai games nye kebanyakan yg ngechead menang kalah lari secepat kilat berunding berunding ngechead games bangsaddd auto unistal,-9,negative
bug asw ni dvlopernya bug pas login room cuman liat background gelap bug pas jalan task player emergency muncul tuh tablet voting bug dc mulu ping g,2,positive
terima kasih devolover udah game inisoalnya seru bangettapi devolover bugnya dikurangin masak download game dihape papi pas masuk aplikasi error tolong diperbaikin devoloversekian terima kasih,2,positive
aplikasi bagus kecewa karna room input kode tolong amon us memperbaiki kalo kasih bintang,-7,negative
tips suka banget impostor lu wajib pake warna oren yg suka banget crewmate lu wjib pake warna ungu karna chance warna oren jd impostor gede chance warna ungu jd crewmate gede banget,9,positive
kasih rate kadang kadang suka disconnect gitu sinyal wifi kencang tolong developer diperbaiki terima kasih,13,positive
kecewa ah pdahal bagus gamenya cmn bnyak cheter tlong donkdiperbarui jgasuka lamaiklan jga ganggu klo udh diakhir permainanjdi telat masukklo g ush iklanbikin pusingudh gtu bnyk yg ngechetpdahl gw lgi jdi imposjrng gw jdi impos skli jdi impos dichet ajg,-11,negative
gamenya stabil bugnya fitur lock pemain game biar seru,-2,negative
diconnet msuk permainan tolong diperbaiki kedalam permainan karna disconnet jaringan,0,neutral
dicari teman among us bernama hai namaku indo kuy pertemuan game among us peta skeld hadiah nama hai kenal silahkan kontak ig rivatamvan difollow akunku private follback tolong carikan infokan thanks,21,positive
suka banget main among us pilse menegtik plise suka game main bareng sahabat yg eh sdh gk ngetik klo sdh mengetik kasih bintang,8,positive
bagustau knp kasih bintang krn menangvictory main ato quit iklan tolong dikurangi iklannyaselain semangatya terimakasih,7,positive
liat orang rating bagus salah impostor orang bosensaya impostor insert bad word,-9,negative
update bagus bahasa indonesia diganti ubah nama tolong dikembalikan bahasa indonesia ngetik tolong player ubah namanya,-8,negative
main tuh ditulis menit main udah impostor udah serunya main eh disconect developer tolong perbaiki,1,positive
hmmm mah game bagus map belom dirilis suka banget game karna kali bermain among us langsung impostor suka bilang klo game jelek boong gitu tolong stop kayak karna pikir jelek stop developer mah game tolong terimakasih,3,positive
assalamualaikum bilang game susah seru fiturnya lengkap fitur yg orng jdi sheriff meeting sheriff nebak impostnya fitur pertemanan map²baru hapus cheat knp habis left game nunggu menit gitu aja assalamualaikum,5,positive
server disconnect kalo buka aplikasi suka room bug lag kacau ni game,0,neutral
gane bagus cheat serusatu pertemanan undang teman game terbagusss hilangkan file diretas orang orang,2,positive
fitnah klo main jarang impostor crewmat cari keseruanya semoga update cuman servrnya tolong perbaikan aman main dc,-4,negative
gw suka gamenya servernya lo jelek sinyak gw bagus main game online berat lancar main among us masuk sekalinya main disconect trs,-4,negative
kalo cheater dibuang cuz look like sampah game thebest bikin gw tau anjir recommended banget orang dirumah aja wkwk,-9,negative
gimana gamennya bugnnyakalau bugnnya apatapi bugnnya bangetbaru selesai gamennya,-2,negative
download dah trus main pas maib seru game buka bisakaya tulisan gitu mohon developer,2,positive
sumpah game keren sedunia bermain mengenal orang berkenalan berteman pokoknya kerennnnnnnn bangetttttttterima kasih developer,-5,negative
bintang kadang impostor mesti pake discord ngasih tau impostornya pas mati tolong ban player fairadil meresahkan mengekill tinggal ehh temennya udah mati ngasih tau,-9,negative
bug server pdhl udh pencet asia tpi pas kutanya ama player north amerika pls fix masak cuman eropa ama amerika doang mauny asia soalny ping ny bagus pls fix,-7,negative
suka game among us pas udah update percakapan chat bagus suka suka chat kasih bintang nih oh among us udh update map arship pengen main map arship tolong inersloth,18,positive
game seru sekalih mabar keluara kekurangan kalo main bosan trimakasih info apdate kaban,0,neutral
game bagus kalo pengen main bareng pake kuota gausah biar pas kuota main editkan seru kalo gitu,-6,negative
kasih bintang karna gamenya bagus banget kurangnya voice chat diupdate voice chat perfect banget,7,positive
pembuat among us suka game ngak nulis leluasa pilihannya bahasa inggris ngak ngerti nama namanya ngacak ngasih nama azham tolong perbaikin biar nulis leluasa terimakasih doang kasih tau gamenya seru bagus,0,neutral
suka game kadang nyambung server nyapadahal udah wifi dirumah tolong dibenerin main kadang karna server nyambung,11,positive
assalamualaikum kasih bintang game asik skin bayar kena fitnah stres deh emergency deluan kesal gitu lho maaf berlebih assalamualaikum,-5,negative
pas buka game ginipertama muncul logo inerslot hitam tunggu tolong perbaiki main game among us,1,positive
gem jelek seru masuk hp samsung langsung rusak hp vivo percaya downlad rusak hmmmhelp diperbaiki berpaket gem main paket minicraf main among us gem ularular itukan gem fitnah,-6,negative
gamenya bagus mnurut bagus tambahin vitur voice tambahkan teman ngundang teman game,-2,negative
disconnected update versi pc bug diperbaiki,0,neutral
among jelek dc suruh memperbarui karna versi amongnya tp playstore tulisan perbarui,-7,negative
aneh gua buka aplikasi kebuka buka gua udah nunggu menit aja kebuka gua buka ff buka ytb pas gua main game ko kebuka²tolong perbaiki,-9,negative
game seru banget buruan coba suka hats hatsnya tu nggak bagus bagus bagus hats angka uang skinya skinya nggak dikasi gitu biar mantap main skinya angka uang pet dikasi devoloper tolong yah kesalahan gamenya cheter semangat devoloper gamenya update devoloper game among us semangat,4,positive
game bagus seru mohon hapus cheat kalo nge cheat truss nge cheat imposter enak imposter menang menang kalah kalah bosan masuk grup orang mulaikan masuk game ehh langsung menang knp lupa hapus aja cheat,-22,negative
game bagus udah selesai main pencet play iklan gamenya perbaiki bug berkeliaran,-4,negative
ngga sabar map game among us namanya map airshipngga sabar pengen main map task palin bagus menarik disana luas map polus lupa download game among us yaaa ketinggalan map among us bye bye player among us jumpa map airship terbaruterluasdan terkeren dadahh,3,positive
gamenya bagus seru fun player pecundang maunya impostor ngga impostor left game semoga kedepannya hukuman player left game,-1,negative
game bagusssssssssssssss bicara orang inggris senang game gampang tinggal vote imposotor habis menang kasih bintang kasih omongan suara habis tangan gue capek ketik tolong kasih omongan suara,3,positive
game lumayan seru pokok seru banget pokok dowloand klo update tan plis yah pengen banget pet bayar gimana nih yallah perbaikin yah plis suka error tuhv sekian yah,-1,negative
yg bilang game buriq game bagus bagus aja tuh karna pande main game wkwk mangkanya belajar main game bilang buriq buktinya youtuber youtuber main game basa aja contohnya jess limitjessica jane sarah viloiddan youtuber main game mangkanya kasih bintang udah belajar main game belajar menghina,22,positive
update layarnya item gw suka gitu main game layar item kakinya doang keliatan semoga update map airship bug hilang,-4,negative
gamenya lumayan bagus tolong perbaikin bug kayak kadang kalo main layar hitam orang left duo eror kadang skin pet hetnya keliatan ngebug,-6,negative
game seru banget ko kesini game berubah pas mainin suka lag hp coba hp adik ama mamah mohon diperbaiki bahasa indonesia kesulitan ber interaksi segitu ajah makasih,-2,negative
maaf² ni game dibuka klo instal download data kalo masuk game pas accept gk jalan datanya sinyalnya bagus tolong developer diperbaiki game,2,positive
gamenya bagus tambahin map petanyakalau karakter pembunuh yg baikitu aja saran semangat yg gamenya,1,positive
game bagus gk chat bebas gk ganti nama nama nama random aneh contohnya homeruck yakan aneh banget,-4,negative
parah keyboard muncul hp ram gb diperbaikimasalah sepele merugikan pemainnya game disuruh mengetik keyboardnya muncul uninstall ajalah sepele diperbaiki developer game,-7,negative
tolong fitur chat kaya bebas chat bebas gk enak kalo pilih² chatfitur udah bagus fitur chat aja ubah tolong fitur chat kembalikan kaya bebas,2,positive
gamenya seru gabisa join publik main keterangannya disconect jaringan youtube lancar jaya tolong perbaiki gamenya terima kasih,10,positive
gem update map bernama arsip disitu bayang taks menyipan senjata gemnya burik suka among us mantap banget pokoknya among us tungguya,6,positive
game bagus milih tulisan kalo tulis ngetik cepet ngeselin tinggal teken tulisan game bagus nggak rugi download serunya kayak game pubg wotb ama kecuali game anak bayi v,-19,negative
game bagus anakanak game bagus bentar beli bonekanya among maksudnya maksudnya beli boneka among us nyesel download game fre fire mah kalah game,-9,negative
kasih bintang karna kekurangan develor sediakan tombol microphone enak main semoga update vitur terima kasih,2,positive
bilang membosankan crewmate crewmate rolenya gk seru tolol kek game kalo crewmate rolenya kek defective aja kek game hago werewolf penyihir cuman game beda gk plagiat nih game werewolf kalo game plagiat gk seru,1,positive
habis update jd suka terganggu banget stengah layar item tolong balikin versi diperbaiki,0,neutral
seru cheater yg langsung mati main yg tau langsung impostor developer tolong tombol report orang tangani orang oang yg nge cheat,2,positive
bilang ngetik kek nyaitu umur klen kayak bebas ngetik heran v maap kesalahan,-12,negative
tolong developer game udah bagus kadang gambar karakter chat yg keliatan kakinya separuh kepalanya habis main suka ngelag game tolong diperbaiki,9,positive
room bermain keterangan room ditemukan server kode sesuai mohon diperbaiki,0,neutral
mhon dperbaiki perangkat loading warnanya item mulu kyak gk warna aja v mhon perbaikannya,-2,negative
gamenya bagus tolong kalo udah main afk kebanyakan gk impostor afk saran gw hapus aja tombol leave game kalo game,-1,negative
bagus banget game kalo diupdate friends lis pelindung crawmate kaya polisi gitu kaya sherif aja terima kasih,8,positive
sultan cheat hmm game si seru kesalahan game yg suka cheat game suka lari cepettan kasi bintang tolong perbaiki developer segini terima kasih da,4,positive
apknya bagus banget yg game bahasa indonesianya ditambabin bahasa indonesia game funny download tpi cuman yg makasih udh nyiptain game sebagus,1,positive
ngasih saran tolong tambahin fitur mic game mic auto mute voting mic auto unmute terima kasih selebihnya okelah,6,positive
hai byan kasih tau game seru banget main ama temen gonta ganti avatar pokok bagus banget kalo download nyesel dah aja info baii main lagid,-8,negative
game update bugnya parah pas search room ketemu udah bilang dengar yah innersloth llc pas menang koin dipake beli skin pet game serba beli cheater please banned mengganggu kenyamanan bermain tolong fixed bugnya lengkap tambahin tempatnya innersloth,6,positive
gamenya plis kaya kalo kaya suka chatnya gabisa bahasa indo kasih bintang plis keren keren ok pas liat karakter keliatan kalah,1,positive
game seru bingung gmn mainnya seru bangett yg suka cheater sma hacker tolong banned orang kayak gitu,0,neutral
huruf bahasa indonesia aja payah tekan kayak gitu plllssss bikin kayak yg bagus lohh yg mohon perbaiki,-13,negative
game kerendan gampangsaya sarankan developer meningkatkan jaringan server mapsaya tau developer berat susah,-6,negative
game bagus imposter kalah main langsung kalah kesal game pls perbaiki game,-5,negative
cheater game males main nggak cheater merusak citra game tolong diperbaiki cheater bagus game seru,1,positive
game seru banget gua kasih bintang bintang gua langsung kasih dah game nyindir banget ama kehidupan seharihari developer hebat banget game bikin versi terbaru,9,positive
gamenya bagus seru suka game among us versi ngak sukakarena ngak suka gama,4,positive
game nama player rusuhtolong diperbaiki yg nama konlanng tolong perbaikigame sdh bagus yg bagusmohon maaf,0,neutral
among us relis agustus game fitnah sihtapi game bagus papa kataan jelek kasartapi game bagus bangetdan umur,-6,negative
masuk pdhl jaringan bagus tolong developer mohon diperbaiki kalo lu bikin game bikin game deh udah login suka ngebug mendingan hapus aja game paly store,-2,negative
gua suka game ganti nama sesuka kaliaan langsung download google play game kalo bilang chat sesuka masuk settings trus pencet data klik tulisan quick chat sampe free quick chat,10,positive
developer innerslot tersayang napa gw suka game tolong diperbaiki versi game update tolong developer,6,positive
kadang kalo main sinyal baikbaik kadang pas main crewmate mulu impostor main udah langsung vote gini,14,positive
game udah bannyak cit nembus mapbelum mati langsung menang blm mati jugaterus kali mach impostor aja dpt crew tolong perbaiki,4,positive
game bagus pas pengen mainin tulisan suruh update udah apk goggle play store tulis deh among us pas tulisan update gimana nih tolong perbaikin,4,positive
among us game berat fitur tambahannya bagus keren perangkat penyimpanan hp gw kek mendukung ngeleg hiks,0,neutral
game bagustapi tolong hapus chit mengganggu pleyer among us oh tolong nama oh bintang game bagus terima kasih game among us semoga sehat bye,6,positive
main siang main lha pas malemnya main tulisan tau mohon diperbaiki terimakasih,4,positive
assallamualaikum semuakenalin nama nailaaku dah ndownlod omong us inidan game bagus bgtpertamanya sihaku gk ngerti mainnya cobaternya ta seru banget game inimakasih gamenyasemangat terussaku kasih bintanggood,-6,negative
tolong innersloth kalo main game berat ultra kalo main game servernya login jaringan tolong diperbaiki kalo diperbaiki rating ok makasih,13,positive
woe perbaikin gasi pemding masuk dr aplikasinya bentar udah log gamenya bagus kualitas,-1,negative
saran developer fitur game pencapaian salahsatunya level player semangat mainnya beda pemain,-1,negative
gamenya disconnect sinyalku bagus permainannya udh layarnya gelaplama menunggu main permainannyatolong developer diperbaiki gamenya kill bermainoh gamenya lag parahtolong diperbaiki,-5,negative
karna terperbaharui g enak main kadang orang room temen mo mabarjd seru gpp peta airship dah among us ny pd ngelu pengen download mendingan mod aj deh,-1,negative
haii mohon maaf kasih ratting bintang update among us seru kalo chat diatur tulisan chat yg tersedia bebas nyaman susah mengobrol mohon diperbarui yaaa,7,positive
gamenya bagus pas maen disconect sinyal udah bagusntar kalo dah diperbaiki tambain bintangnya,1,positive
suka banget game lain² indonésia bebas cocok game temannyasaya belajar among us senang maksih yah kakakini game yah,10,positive
saran ngechet curang kalo game pengen laris ngechet game game ngechet dimana ngechet tra main game game ngechet trs ngechetnya hak kalo ngechet suka dengen game seru main bareng imposter trs kaya orang misi trs impostersekian terimakasih,14,positive
gamenya bagus saran grafik aja gausah jadiin hade ubah perbaiki bug yg cheat tolong musnahkan,-5,negative
gamnyah udah bagus seru seru tambahin vooce pas diakusi tolong tambahin menu add teman citer tolong band,3,positive
game bagus cheatar merajalela contoh si cheater ketahuan imposter lang sung skip voting nama orang errorloading name dll saran game akun masuk game ketahuan ngecheat tolong ban aja akunya main terimakasih,-8,negative
kasih bintang disconnect dgn enak nyelesaiin task kalo udah disconnect kasih bintang,3,positive
gw maenin game ni ampe jam kga dapet impostor bug emang dri sistem kalo sistem knp main dpet impostor kalo udah main impostor banget,-3,negative
mohon cepatan update udah versi mohon map airship dikeluarin yaaa kasih bintang update,1,positive
bilang pembuat among us tolong chat ketik aja jsngan kaya gitu seru sumpah udah game among us kalo sitem chat kaya gitu pemain uninstal among us oh nama bebasin biar lucu nama nama kayak gitu nama aga crince mohon among us kaya duluin lagj fitur chat dll kaya diubah,6,positive
dh seneng update kokalah gini updatetan bikin nyesel salah deh nggk update nggk main update gini nggk ngetik yg bahasanya aja server tolong balikin yg nyesel karna updatenya sesuai keingininlebih kayak aja assalamualaikum,-4,negative
game bagus impostor orang batak impostor tambahin crew mate memiliki skillnya masingmasing ne bosenin pas crewmate tambahin menang coin beli skin skin udah aja,2,positive
game bagus sayangnya dc kedepannya tolong perbaiki server tambahin fitur voice chat thanks,5,positive
wow senang game among us gamenya seru game merusak pertemanan depelofer berterimakasih game among us menghilangkan pertemanan cepat terimakasih depeloferwkwkwkwk,12,positive
udah bagus banget tpi tolong yah pas main disconnectedsusahpadahal seru main eh diskonekpadahal jaringan lancar bgttolong yah develop nyananti klo udah kasi bintang,1,positive
assalamualaikum permainan seru gk inposter tolong perbaikilah permainan yah seru nyesel deh download aplikasi nyeselin gk inposter perbaiki secepatnya yah svkeysa aurelia assalamualaikum warahmatullahi wabarokatuh,1,positive
game bagus selesai main iklan tolong hapus iklannya mempersulit permainan tau,-8,negative
tolong peran impostor crewmate polisidetektifdan tolong memban cheater udah tombol kick cheater cepat membunuh crewmate klik crewmate menekan tombol kick,-1,negative
game gamenya ngebug musiknya suka error tolong innerslloth updatenya bagus mah gabisa mainin,-4,negative
nice game main game ginian masik makek cheat dasar org² iq kwkwwk tolong tambahin sistem friendlist biar berteman dn mbar dgn org² yg kenal,1,positive
pas main tekeluar game seru banget tolong perbaiki dongkalo udah perbaiki kasih bintang dehh,8,positive
aneh kalo masuk appnya suka sampe skrg gapernah dimainin laptop,-4,negative
update masuk room nyaa suruh update ulang udh bisaaa kecewa bngt sii main udh ad halangan kecewaaa bngt,-5,negative
suka gamenya seru menantang suka nge cheat among us jarang impostor tolong perbarui aplikasinya mudah cheat terimakasih,9,positive
rame banget kemarin main among us connection ilang gitu udh cari yt tetep gabisa tolong developer,-6,negative
assalamualaikum warroh matullahi wabarrakatu emang suka game menariktapi udah download game temanteman main game tenggah malam jam malam gua merinding maininnya udah matiin data seluler ama hpnya udh gua log aut game yah suara game pas gua bukak hpnya gua mainin tu game suaranya matiin tuh,-5,negative
kasih bintang karnaalag dikit langsung keluarbanyak bugglitchping suka naikkurangi cheat yawarnanya kadang samapokoknya gamautau,5,positive
suka game download nyesel tolong perbarui skin pets tolong pebarui air ship mohon cepat,0,neutral
gamenya jelek bohong gamenya bagus mabar bareng temen skinnya bagus pet keren banget,-13,negative
game bagus masuk lobi game alasannya situ ping pake wifi jaringannya bagus tolong perbaiki,-2,negative
assalamualaikum nama gw luthfiyah ulasan gw gamenya seru banget bahasa indonesia impostor menyenangkan wkwkwk hmmmm warnamap map mahplis kao cheter langsung kick aja kayak garena free fire langsung kick plis game menyenangkan gamenya ayok dowload jg keburu memorinya penuh terimakasih salam luthfiyah,19,positive
game bagus suka seru bangett btw developer semangat bikin map uwu tambahin fitur² yg menarik jugad,3,positive
game peringkat seru terima kasih developer game sebagus gk impostor tetep seru crewmate terima kasih among us terima kasih innersloth,13,positive
gamenya udh bagus tambahin fitur voicenya bunuh voicenya auto termute boat kaga capek ngetik ok,-3,negative
maaf kalo kasih bintang karna download pas masuk game hitam pas game play gitu tolong diperbaiki kalo diperbaiki kasih bintang deh,5,positive
game seru ajak mabar bareng teman sayangnya cheater server public nugguin among us rilis,4,positive
terhormat developer game bagustapi kekurangan cheater merugikan pemain laindan bug emergency meeting,-4,negative
gan gw kasih saran memainkan game membutuhkan spesifikasi yg yg bilang servernya error dc depelopernya tau game sampe jt download saran nek main diserver north amerika,-3,negative
bagus ksini game ny rusak tau disconnect mohon perbaiki secepatnya yah,-2,negative
game yange nostalgia bagus dimainkan bosen kritik kadang suka lambat lagupdate,-3,negative
dear developer main notifikasi among us old version suruh update playstore tolong diperbaiki kasih bintang,2,positive
game keren banget main haechan nct temen temen kelas main mabar sekelas wkwkwk thank btw update memori gacukup ueueue hp hp sultan oiya server kadang lemot banget sampe disconnect mulu udah aja thank,12,positive
gen asik banget banget impos asik maba bareng kasi bintang bagus banget suka coba jamin asik sekian dadaaaaaa,8,positive
gamenya bagus mohon memperbaiki bug server issuenya termikasih,-2,negative
hai developer aming us tolong benerkan server main tersambung server next update fitur discord,2,positive
game among us udh serukita atur nama chat langsungsaya wajar player player game diluar kecewa game,7,positive
game bagus merusak pertemanan gua ama seluar kayak asuu liat yourube main kagak paket beli,-5,negative
game keren update seru banget kasih bintang developer tolong mode polisi military ngelawan impostor niat kalo impostor mati menang crewmatwe gitu info terimakasih developer,5,positive
game bagus banget mabar offline bagus game inisemangat developer game semoga game berkembang dapet rating teratas tolong berbayar seru,8,positive
mohon maaf developer among us updatetan among us pake login² akun download tambahan banget mb aja update mb suruh download tambahansaya among us ribetsekali mohon maaf besarnya,3,positive
among us susah komunikasichat terbatas susah name gk diganti ngebug jalan buruk among us,-8,negative
gamenya bangus tapicheater tolong ilangin mengganggu tambahin fitur add friend pake id gitu biar main temen gitu bagus,-3,negative
game seru kesalahan yg jengkel disconnecting dc mohon fixs devoloper among us game bagus,-7,negative
perbaiki bug jaringannya main main plis perbaiki bug cheater,0,neutral
gamenya seru bikin gregetan cuman kasih bintang skrg cheater among us menyebabkan gamenya jd seru sportif please klo game online klo cheater report rame karna tombol report cheater noob,3,positive
game keren nih bagus banget gameplay grafik tetep keren temanteman cepat buruan download among us cobain,2,positive
tolong developer perbaiki game main disconnect pakai indihome tpi aja disconnect tolong developer perbaiki thx,5,positive
gamenya bagus banget donlot deh nyesel pilihan warna topi ama petnya bagus banget oh yg bilanggame buriktapi boonk hahahajangan ikut² merekagitu aja alay banget kalo tulisanapakah ulasan membantupencet nulis kayak anak alay cuman buang² waktusekian terima gaji,-9,negative
bagus game gw impos main aj temen udh bilang gw impos hbis tu bikin miting lgi tingal temen gw yg satunya impos tau tolong deplover player yg ngecit mode online kurangi dh mantap lh dimana hacker udh turun kejayaannya game seruh parah asik main curiga curigaan,-2,negative
udah download dihape ibuku bagus banget cuman pas download dihape gabisa masuk pas masuk tu muncul loga innerslot hitam,-7,negative
servernya udah stabil tolong tambahkan fitur tambahkan teman id list pertemanan memudahkan bermain teman,6,positive
game bagus banget mohon diperbaiki sistem cheat game bertulisan update update sekian ulasan,2,positive
suka banget among us suka disconect jaringan udah bagus dowbload main gara gara disconect mulu suka memory nyerot udah aja semoga dibenerin,-2,negative
guys bilang kalo game bagus banget gua kasih bintang update seru updatenya new maprocket new color new modehide seek new teamdetective scientists itunes updatenya,0,neutral
perkenalkan nama darul suka banget permainan tpi yg gk suka permainan membeli baju costum beli pakai pulsa menguntungkan kasih bintang,3,positive
kasih bintang karna game aneh masuk asia pas masuk room oraang masuk trus kemarn yg tanduk merahnya yg gada nyesal kecewa,-9,negative
gamenya bagus suka kerenterbaik pengen translate pesan ngerti orang bilang,0,neutral
geme among us geme bagus cheaternya gemenya ngak seru tolong musnahkan cheater tolong hilangkan bug geme among us tolong baca biar fix dihalangakan cheater oke tolong diperbaiki,4,positive
